statement,truth
"""Actually, on some procedures, you’re more likely to die if you’re on Medicaid than if you’re uninsured.""",2
"Under the House health care bill, Medicaid spending ""actually goes up 20 percent over the next 10 years.""",3
"""Trey Gowdy is the new director of the FBI!""",0
"Says the CBO said ""it’s not that people are getting pushed off a plan; it’s that people will choose not to buy something they don’t like or want.""",2
"Says Donald Trump ""wants to kick thousands of kids off of BadgerCare.""",3
"""When Obamacare was signed into law, CBO estimated that 23 million people would be covered in Obamacare’s exchanges in 2017. They were off by more than 100 percent. Only 10.3 million people are covered by Obamacare.""",3
"President Trump has signed more bills into law ""than any president previously before at this stage in the game.""",1
"""We are seeing poverty being reduced in south St. Pete at a number larger than the national average, the state average, county or Tampa and Jacksonville.""",2
"""When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die. ¦ This is study after study making this point.""",4
Says Johnny Depp died after being apprehended for threatening President Donald Trump’s life.,0
"""Remember, Obamacare created a new category of eligibility. Working-age, able-bodied adults with no dependents for the first time became eligible for Medicaid if their income is below 138 percent of the poverty level. We’re going to continue that eligibility. No one loses coverage.""",3
"There ""are not cuts to Medicaid"" in the GOP health care proposals.",2
"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",4
"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",2
Says investigators have found remains of missing women in steel barrels buried on Bill and Hillary Clinton’s property.,0
"""Massive Bumble Bee recall after 2 employees admit cooking a man and mixing him with a batch of tuna.""",0
"""If you became a Medicaid recipient through the Obamacare expansion, you are grandfathered in.""",2
"""When colleges and universities are added, education spending is the biggest item in the state budget  -  about 52 percent of all state dollars.""",4
"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",5
"A waiver in the American Health Care Act ""doesn’t apply to things like maternity coverage.""",1
"Although California has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation.",4
"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",1
"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",1
"""Chinese lunar rover finds no evidence of American moon landings.""",0
Obamacare has led to fewer health insurance options for millions of Americans.,2
"Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.""",2
"The Trump administration has granted amnesty to ""nearly 100,000 ’Dreamers’ """,4
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",1
"""Libtard hero Al Franken forced to resign in disgrace.""",0
"In the Georgia House district that hosted a special election on June 20, ""Trump won by 20+ points.""",1
"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman - last election cycle.""",2
"""This is not the first time (the Russians) have been involved in our elections.""",3
"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression""",0
"Says Jon Ossoff ""doesn’t even live in (his) district.""",5
"Says Kellyanne Conway said liberal women hate her because of her ""striking beauty and intellect.""",0
"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher.""",0
"""The same unhinged leftists cheering last week’s shooting are all backing Jon Ossoff.""",0
"""Trump welcomes Jamaica as a U.S. territory""",0
Says Barack Obama complained that Democrats continue to ignore blacks except at election time.,0
"""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. That’s higher than O’s #’s!""",2
"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",4
"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",5
"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""",0
A political map circulated by Sarah Palin’s PAC incited Rep. Gabby Giffords’ shooting,1
"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years.""",0
"""Obamacare premiums have doubled"" in Wisconsin.",3
"A national paid leave program ""would potentially put into the economy $21 billion dollars annually.""",2
"Says each of the past three years ""has been the hottest on record.""",5
"Says Senate deliberations on the Affordable Care Act in 2009 and 2010 included hundreds of hours of debate and more than 100 Republican amendments, compared with zero for the American Health Care Act this year.",3
"""Americans are 25x more likely to be shot & killed than others in developed countries.""",4
"""Two million more people just dropped out of Obamacare. It is in a death spiral.""",2
"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",5
"Says Iran has ""violated the terms of the (nuclear) deal.""",2
"""It’s a longstanding policy of the Department of Justice not to comment on conversations that the attorney general has had with the president of the United States.""",3
"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",5
"Says his campaign has received donations from ""more than 7,000 contributors.""",2
"""NASA confirms Earth will experience 15 days of darkness In November 2017.""",0
"""The DEA just raided a United States senator  -  Dems in a panic.""",0
"Rare is the president ""who’s passed more legislation, who’s done more things than what we’ve done, between the executive orders and the job-killing regulations that have been terminated.""",2
"Says Keanu Reeves gave a speech that began, ""I cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ...""",0
"The House Republican health care bill ""guts protections against massive price hikes for Georgians with pre-existing conditions.""",3
"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas.""",0
"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",4
"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",5
Says former FBI Director James Comey admitted to leaking classified information.,1
"""We have pay equity. When you think about that wage gap, we all know it’s 78 cents to the dollar. Well, in New York state it’s 90 cents to the dollar.""",4
"""Seventy-seven of the top 300 cities with the highest poverty rate"" nationwide are in California.",1
"""Every single year that there’s an increase (in temperature) it’s within the margin of error -- meaning it isn’t increasing.""",0
"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",2
"""The Earth is 6,000 years old, that’s a fact.""",1
Says an Internet meme shows people rejoicing over the Paris agreement.,1
"""Trump Removing Marines From the Navy.""",0
"Says ""Scott Baio .. dies in small plane crash.""",0
"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin.",4
"""In 2012, you were discussing how you led the effort to defund breast cancer screenings at Planned Parenthood.""",4
"""Nearly $2 billion in cash was flown over to Iran, money that the Obama administration has admitted is being used for terrorists and to support further activities there.""",3
"""The waiting list for Pre-K is over in the House budget.""",5
"""Trump’s Top Scientist Pick: ’Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’""",0
"Says ""Monica Lewinsky Found Dead"" in a burglary.",0
"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",1
"""70 percent of Florida is in drought today.""",4
"""Since the fourth quarter of last year until most recently, we’ve added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.""",2
"""A majority of President Trump’s supporters and voters wanted (the United States) to stay in"" the Paris Agreement.",2
"Says Arabic ""is the third most-common language in Austin.""",1
"""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ’no reason to be alarmed!’ """,1
"Clean energy employs ""more than half a million Californians. That’s nearly ten times more the number of coal mining jobs that exist in the entire nation.""",4
"""State economic development dollars were used to support a project where goods were manufactured in China.""",1
"""Texas leads the country in animal deaths by sodium cyanide M-44s.""",5
"""Fact: Hillary Clinton received 80% of the vote in Pittsburgh.""",4
"In 2008, ""candidate Obama, he’s not even president-elect, sends William Miller over to Iran to establish a back channel and let the Iranians know that should he win the election, they will have friendlier terms.""",1
"""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""",4
"Says a Congressional Budget Office report found low-income seniors in Florida will face ""800 percent premium increases"" under the American Health Care Act.",3
"""Syria and Nicaragua are the only nations that didn’t sign the Paris Agreement. Nicaragua said it wasn’t tough enough.""",5
"""Rubio: ’Rape victims should be in custody if there is suspicion that they’re planning abortion.’ """,0
"""ISIS is infiltrating America and using Syrians to do it.""",1
"Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",2
"""You can collude all you want with a foreign government in an election. There’s no such statute"" (that makes collusion a crime).",1
"Says Pat Robertson said, ""We must impose a rule on the gay population that would require them to wear specially-colored clothes.""",0
"""Many of the countries in question (in Trump’s travel ban) don’t even have a U.S. embassy there to help us vet.""",5
President Trump greenlighted Congress to ramp up Clinton investigation.,0
"In Wisconsin’s school voucher program, ""two-thirds of the money"" in the ""tax vouchers"" went to people ""making more than $100,000.""",1
"California Gov. Jerry Brown was ""Caught in the Middle of a $60 Billion Corruption Investigation.""",0
"""Due to the recent downturn in steel production, more than 13,600 Americans have been laid off and the steel industry is facing billions in losses.""",5
"President Donald Trump ""announced that he would reinstate a national day of remembrance for fallen officers that the traitor before him had done away with.""",0
"""I think if you look at the entire federal government and the president’s commitment to (fighting opioid addiction), you’ll see that there are actually hundreds of millions of dollars increase on this issue.""",3
"Deals struck on his first foreign trip as president made and saved ""millions of jobs.""",1
"Says U.S. Rep. Trey Gowdy’s 8-year-old son found dead ""in a dumpster in D.C.""",0
"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""",0
"""Bay Area liberals have given more to Jon Ossoff’s campaign than people in Georgia.""",1
"Says David Clarke reduced the number of Milwaukee County sheriff’s deputies ""from about 700 and something to 300 and something.""",3
"California Gov. Jerry Brown’s budget ""cuts funds for local tree mortality efforts from $52.7 million to just $2 million.""",2
"""This year, a majority of states are seeing premiums and costs double"" under Obamacare.",1
"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",4
"""You could lose your rights for life over something as simple as driving with a suspended license"" in Florida.",4
"Under the American Health Care Act ""people with pre-existing conditions are protected.""",2
"""I’m proud to say that under my administration, as you just heard, we will be building the first new heavy icebreakers the United States has seen in over 40 years.""",3
"""NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days.""",0
"""Voter turnout in 2016 was reduced by approx. 200,000 votes because of WI’s photo ID laws.""",2
"""Last year was one of the deadliest years ever for law enforcement officers.""",1
"""Donald Trump praises Colonel Sanders for his service in the Civil War.""",0
"The Department of Homeland Security’s database of legal immigrants has ""never"" been ""bounced against a state’s voter rolls.""",2
"""If Donald Trump would stay home from Mar-a-Lago one weekend, it would pay the entire meals on wheels budget for the state of Missouri for almost two years.""",1
"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""",0
"Says Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.""",0
"""It was a 100 percent lie that (Donald Trump’s) election unleashed anti-Semitism. ¦ Hundreds of Jewish community centers had bomb threats called in. To the best of our knowledge to this day, 90 percent of them were called in by an American Jewish kid living in Israel, and the other 10 percent were a black radical who was trying to impress his girlfriend.""",3
"California Gov. Jerry Brown has proposed ""diverting 30 percent of the funding"" from the state’s gas tax increase ""to non-road related projects like building parks and job training for felons.""",2
"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",2
"Before Obamacare, Wisconsin’s ""high-risk pool"" for health insurance ""had eight or nine"" plans to choose from, people ""could go to any doctor or any hospital they wanted, and their premiums and co-pays were cheaper than they are under Obamacare today.""",3
"""The first Congress passed a law mandating that every able-bodied man must own a musket.""",3
There is no ’backlog’ of untested rape kits in Wisconsin.,0
"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted.""",2
"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",5
"Says Travis County Sheriff Sally Hernandez ""declared that she would not detain known criminals accused of violent crimes.""",0
"Says there are thousands of registered voters over 110 years old in North Carolina, including one who is 219 years old.",1
"""More (people) die from indoor air pollution than from malaria, HIV/AIDS and TB combined.""",4
"""Jefferson Davis statue to be replaced with Obama likeness.""",0
"Farmers ""are now dumping milk into the ditches"" because of a trade dispute with Canada",1
"An ""abortion procedure is actually safer than a vasectomy.""",4
"""Some of the safest communities in the United States are along the border.""",4
"""FBI uncovers evidence that 62 million Trump voters are all Russian agents!""",0
"It is a myth that Florida’s education legislation was ""negotiated in secret.""",1
"Says ""Karen Handel’s office budget increased a whopping 42 percent.""",2
"""Barack Obama arrested in a Japanese drug bust.""",0
"""We are investing more money into education than ever before in the history of Wisconsin.""",2
"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",4
"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",4
Say Lance Armstrong is dead.,0
"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",0
"""What does Trumpcare do? Yank tax credits away from veterans unlike any other American.""",3
"The federal tax code includes ""deductions for birds flying across America.""",5
"Says the Florida House of Representatives allocated $24 billion, ""the greatest investment in education in Florida history!""",3
"""Planned Parenthood is the biggest abortion provider in the country.""",5
"""(Charter schools in Missouri) are actually failing in a greater capacity than the public school systems.""",2
"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",2
"""Clinton Foundation cargo ship raided at Port of Baltimore"" caught smuggling 460 undocumented immigrants.",0
"""This Russia thing with Trump and Russia is a made-up story. It’s an excuse by the Democrats for having lost an election that they should’ve won.""",0
"""Michael Untermeyer has been a Democrat for more than 40 years.""",3
The Republican replacement for Obamacare does not give massive tax cuts to wealthy Americans.,1
"""If you’re getting your insurance through (your employer), nothing changes"" under Trumpcare.",3
"Says a federal program that collects reported side-effects of vaccinations doesn’t accept possible outcomes extending to road accidents, heart attacks or suicides.",1
"U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies ""charge five times more for people over 50.""",3
"""We got to a point that our Air Force pilots were going to museums to find spare parts over the last eight years"" under Barack Obama.",0
"A University of Texas ""student pulled out a concealed handgun"" on a knife-wielding suspect ""and made him back down.""",0
"Says if the AHCA replaces Obamacare it will ""significantly reduce insurance premiums in"" North Carolina.",3
"District attorneys ""have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen, so they won’t be deported.""",3
"""FBI crime statistics have found that labeled ’sanctuary’ cities experience lower rates of all crime types, including homicides.""",3
"""We have 5 percent of world population. 80 percent of opioids.""",1
"In the House Republican health care bill, ""we’re expanding women’s access to health services by redirecting Planned Parenthood dollars to community health centers, which vastly outnumber Planned Parenthood clinics.""",2
"""Nobody on Medicaid"" will have their benefits taken away.",1
"The GOP health bill ""would once again allow being a rape or domestic violence victim to be a pre-existing condition.""",2
"""Clinton Foundation ordered to cease operations “ Chelsea (Clinton) charged with fraud!""",0
"""Under ’Trumpcare,’"" domestic violence and sexual assault ""could be considered pre-existing conditions.""",2
"""Coffee is the second-most traded commodity after oil.""",0
"In some cases, a sex offender ""who appears on the New York State Sex Offender Registry"" would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July",5
"""We have got 20 million folks out there across this land who have told the federal government, ’Phooey, nonsense, I’m not going to participate in your program, because it doesn’t do what I need done.’ """,2
"""Malia Obama arrested with a gang of thugs in Chicago.""",0
"""Nobody dies because they don’t have access to health care.""",0
"""Sixty-two percent of all (Texas) property taxes are paid by businesses.""",3
"Says John Quincy Adams said, ""If your actions inspire others to dream more, learn more, do more, and become more, you are a leader.""",1
"""Bill O’Reilly in critical condition after being attacked by ’tolerant’ liberals.""",0
"Under the House Republican health plan, sexual assault is a pre-existing condition.",2
Says police officers smoke marijuana once a year as part of their jobs.,1
"""When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.""",4
"Says Tammy Baldwin was told by a whistleblower about ""overmedicated veterans,"" she made ""deadly mistakes"" and ""three veterans died"" at the Tomah VA hospital.",1
"""Dems want billions to go to Insurance Companies to bail out donors""",1
"Easing school lunch regulations ""is not reducing the nutritional standards whatsoever.""",2
"Donald Trump’s ""golf course on the island defaulted, like so many of his other failed business schemes. The failure left Puerto Rican taxpayers with a nearly $33 million bill.""",3
"Says the Republican plan to replace Obamacare, ""absolutely does not eliminate protections for pre-existing conditions.""",2
"""40 percent of American households have female primary breadwinners.""",4
"""President Trump last month proposed a $6 billion cut in funding to the National Institutes of Health. And thank God our congressmen made a deal last night to not go along with that. They actually increased funding by $2 billion.""",4
"""Larry Krasner is the only candidate running for District Attorney who explicitly pledges to never seek the death penalty.""",2
"Wisconsin politicians get daily expense payments ""even if they don’t spend a dime on meals, or lodging or travel,"" and ""no receipts are required for them to get paid.""",4
"""In my 30 year career including dozens of capital cases, not a single client of mine has ever been sentenced to death.""",4
"""General Flynn got his clearance from the Obama administration.""",5
"""Lindsey Graham threatens to convert to Democrat if Republicans don’t Dump Trump.""",1
"Regarding the surgery that saved Jimmy Kimmel’s son, ""Medicaid has stopped providing this kind of service.""",1
"Poor people pay ""in some cases, up to 25 percent of (their) income for water.""",4
"""China account(s) for 90 percent of North Korean trade.""",5
"""Ted Nugent killed in hunting accident.""",0
"""Sarah Palin in a coma after hit and run.""",0
"""President Trump has passed more legislation in his first 100 days than any president since Harry Truman.""",4
"Says of the GOP health care proposal, ""pre-existing conditions are in the bill.""",2
"""For the first time in the modern political era, we have confirmed a new justice in the first 100 days.""",4
"The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",5
"""The ’tax plan’ rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",4
"""Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.""",4
"""There’s no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",5
"""Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the U.S.""",0
"In Congress, ""on the Democratic side of the room, you’ve got men and women of all different races; on the other side, you’ve got a bunch of white men in dark suits, all over 55 or so.""",4
"""Donald Trump to issue an executive order to ban Facebook across U.S.""",0
"""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",2
"Says President Donald Trump ""has given more financial disclosure than anybody else.""",1
"""All charter schools are not-for-profit.""",3
"Treasury Department’s inspector general found ""there’s $4 billion a year in excess payments"" going to people that shouldn’t get them. ""These are mostly Mexicans.""",3
Says Texas House rules authorized by the Texas Constitution supersede the state law permitting anyone to record a public government meeting.,4
"In the federal government, ""there’s $16 billion in duplicate programs"" that can be cut.",4
"Trump has ""worked with Congress to pass more legislation in his first 100 days than any president since Truman.""",4
"Says Bernie Sanders ""is the most popular politician in America today.""",4
"""Trump wants to deport American Indians to India.""",0
"Says he created ""over 500,000 new jobs -- with a surge in female employment last month.""",3
"The Ninth Circuit has an overturned record ""close to 80%.""",3
"""Trump’s Cabinet is more white and more male than any first Cabinet since President Ronald Reagan’s.""",4
"""The single-largest expense in  over half of American households is child care.""",2
"""In the first two years and a couple months (as California treasurer), I have saved taxpayers and ratepayers over $5.2 billion.""",3
"""We’re experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",5
"Says Eric Trump said, ""My father’s tax return is irrelevant because we’re going to cancel taxes for WEALTHY people anyway.""",0
"""Back when they did NATO, there was no such thing as terrorism.""",2
"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",5
"""More than 260,000 Americans are employed by the domestic solar industry  -  three times as many workers as employed by the entire coal mining industry.""",4
"""After prohibition ended, police deaths didn’t reach 200 a year again until the year Nixon declared war on drugs.""",2
"""Nobody applies to the United States for refugee status. They apply to the United Nations.""",1
"""The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twenty-fold.""",4
"""No administration has accomplished more in the first 90 days.""",1
"""They voted for (a border wall) in 2006. Then-Senator Obama voted for it. Sen. Schumer voted for it. Sen. Clinton voted for it.""",3
"""Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.""",5
"The conservative proposal to replace the Affordable Care Act ""lowers premiums by giving New York the freedom to end Obamacare’s costly and ridiculous rules.""",2
"""Hate speech is not protected by the first amendment.""",1
"""Fox News Sandra Smith: ’Everybody could see from the United Airlines passenger’s behavior that he was not a genuine American.’ """,0
"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""",5
"""Trump on revamping the military: We’re bringing back the draft.""",0
"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",4
"""The Wawa Welcome America festival (features) . . . America’s largest free concert.""",0
"""We don’t give bonuses in the state of Missouri on any level of government.""",3
"""Our families have the highest property taxes in the country. We must change this.""",4
Images show the turnout for President Donald Trump’s 2017 ceremony with the New England Patriots was smaller than the team’s turnout with President Barack Obama in 2015.,2
"""All pipelines that are coming into this country from now on has to be American steel.""",1
"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support “ by a majority of North Carolinians and members of both parties.""",4
"""I have not called for impeachment"" of President Donald Trump.",0
"With North Korea, ""nobody has ever seen such a positive response on our behalf from China.""",3
"""We’ve lost 70,000 factories since China joined the World Trade Organization.""",4
"""Malia Obama expelled from Harvard.""",0
"Says the University of South Florida invests in oil companies like BP, tobacco companies, weapons manufacturers and private prisons.",4
"In America, ""more people die from"" prescription narcotic painkillers ""than from heroin and cocaine combined.""",3
"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",3
"""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""",1
"""When Trump won, we had the lowest voter turnout in 20 years.""",1
"""United Airlines flight attendant slaps crying baby during flight.""",0
"""Tampa man loses testicles after trying to ’fill scuba tank with weed smoke.’""",0
"""Snapchat CEO Evan Spiegel has said the app is for rich people, don’t want to expand in poor countries like India and Spain.""",2
"""African-Americans are grossly overrepresented on Florida’s death row.""",4
"Says Jon Ossoff wants to ""allow illegal immigration.""",2
"""Texas law enforcement officer fatally shot upon arriving for work by 3 Muslim refugee.""",0
"""When public schools face increased competition, they get better and kids learn more.""",2
"Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter ""is a terrorist movement, a hate group and calls it, Black LIES Matter.""",5
"The Keystone XL pipeline ""doesn’t even have any oil for America.""",2
"A United Airlines passenger forcibly removed from an airplane ""was in his seat, he has every right to stay there.""",1
"El Paso is the ""safest city in the state of Texas, safest city in the United States.""",3
"""As chairman of the Fulton board of commissioners, I turned a $100 million deficit into a balanced budget.""",3
"Says a Texas Senate committee considering ""private school voucher"" legislation randomly called people to testify regardless of when the people submitted requests to testify.",5
"""Here are some of the things that are more popular than Congress: hemorrhoids, Nickelback, traffic jams, cockroaches, root canals, colonoscopies, herpes. Even herpes, they couldn’t beat herpes in the polls.""",4
"Says President Barack Obama ""tax audit exposes MILLIONS in offshore accounts stolen from taxpayers.""",0
"""Every day, four North Carolinians die from a medication or drug overdose.""",4
"""Wisconsin’s economy is in the best shape it’s been since 2000.""",3
"Says Al Jazeera, ""a mouthpiece for terrorists, has been paying Jon Ossoff thousands of dollars. ... What is he hiding?""",2
"Said Vin Diesel declared his love of Rockford, Ill., after locals provided him car help and hospitality.",0
"Says Florida has ""the second-lowest taxes, per capita, state taxes of any state in the country.""",4
"Says Ohio Gov. John Kasich said, ""If a woman is not intelligent enough to keep her legs closed, how can we entrust the abortion decision to her?""",0
"""For too long, Obamacare has caused high premiums and dismal coverage. ... Under Obamacare premiums in job-based coverage have increased by $3,775""",2
"There were ""76 deaths in three years"" at the Buffalo Psychiatric Center",0
"The Obama administration’s 2013 Syria proposal ""had no clear objective,"" while Trump’s Syria strike ""had a clear strategic objective.""",1
"Before the presidential campaign, ""I didn’t know Steve (Bannon).""",0
"""Evangelical leader says those who oppose Trump could be ’punished’ with gay child.""",0
"""In 2014, Mexico alone received over $24 billion in remittances sent from the U.S., while other South and Central American countries received over 15 percent of their (gross domestic product) in the form of remittances.""",3
"Says small businesses ""make up 98.9 percent of all businesses in the state and employ nearly half of the state’s private sector workforce"" and ""almost never receive a penny of government money.""",3
"Says Adolf Hitler ""didn’t even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",0
"Says ""2 moms, 5 kids killed in car crash"" in a nearby county.",1
"""Data shows that vehicle break-in is the No. 1 crime in the city, but also the No. 1 crime in the South Side Flats, and it’s closely followed by assault.""",1
"California will have the ""highest gas tax in the nation"" once its 12 cent gas tax hike goes into effect.",1
"""More than 20 million people are at risk of dying from starvation within 6 months in 4 nations.""",5
"""Last month, we saw a 64 percent reduction in illegal immigration on our southern border.""",3
"""We’ve seen more filibusters on judicial nominees by the Republicans under President Obama than we saw in the whole history of the United States Senate.""",3
Two options for a new train station site in Buffalo are at Canalside,2
"""Seven out of ten doctors are not taking any new Medicaid patients as lower reimbursement rates make it cost-prohibitive.""",2
"""There is no legal basis"" for Donald Trump’s ""missile strike against Syrian military assets.""",1
"House Bill 991 ""could lead to the opening of as many as 2,000 new liquor stores.""",5
"""Two liberal Democrat congressmen arrested for planning Trump’s assassination.""",0
"""Since 2012,"" city of Austin ""property taxes have gone up almost 30 percent while incomes have only risen 4 percent.""",1
"""75 percent of the town boards in Wisconsin have no women on them at all.""",5
"""It is unusual"" for a White House official like former National Security Adviser Susan Rice to make unmasking requests.",1
"""I’ve won awards on environmental protection.""",3
"""The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions. That’s what she said. Go look it up.""",1
"""Over the past 25 years, job growth in right-to-work states has been twice as high as in non-right-to-work states. ... The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri.""",3
"""Police find 19 white female bodies in freezers with ’Black Lives Matter’ carved into skin.""",0
"""There are no federal or state laws that say prosecutors must seek death sentences. And the United States Supreme Court has banned all state laws that make executions mandatory for murders.""",5
"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama’s red line was crossed.",5
"""The United States Department of Education has introduced an Islamic indoctrination program for the public schools, called ’Access Islam.’ """,1
"""Finally, I will continue to fight against Republicans like Martina White, who like Trump, wants to deport all of our hard working immigrant brothers and sisters and white wash America.""",0
"Says Tammy Baldwin ""supported legislation allowing citizens to withhold funding for our troops.""",2
"""There was a very large infrastructure bill that was approved during the Obama administration, a trillion dollars. Nobody ever saw anything being built.""",2
"Says North Carolina’s replacement for HB2 ""orders NC cities to discriminate against LGBT people until at least 2020 and unfair ’bathroom bans’ remain.""",1
"""When you look for a job, you can’t find it and you give up. You are now considered statistically employed.""",1
"""Doctors who discovered cancer enzymes in vaccines all found murdered.""",0
"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war.""",5
"California’s Central Valley and Inland Empire ""are experiencing tremendous job growth.""",4
"""Autopsy results from Vince Foster’s exhumed body  -  Cause of death to be changed!""",0
"""Apprehension rates at the southern border have plummeted since the 1980s, and apprehensions of Mexicans specifically have reached their lowest point in nearly half a century.""",4
"""I’ve got five years of experience as a national security staffer in the U.S. Congress.""",3
"Of ""30,000 individuals arrested a year for crimes that are 16 or 17, over 95 percent of them do not result in a criminal conviction. Only 1.5 percent of them ultimately go to state prison.""",4
"""Muslims get their way--Illinois will permit wearing burqas in driving licenses photos""",0
"""NBC just fired Megyn Kelly before her new show begins.""",0
"Says ""Georgia becomes first state to ban Muslim culture in historic move to restore Western values.""",1
"""Colorado Rockies baseball team to sell marijuana brownies at their concession stands.""",0
"Says extras are needed to portray aliens in a Star Wars movie being shot near Rosenberg, Texas.",0
"""Florida Sheriff: Blacks should learn to act like white people in order to stay alive.""",2
"Government orders South African firm ""to lay off 3,389 white employees.""",1
